Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-01,Maharashtra,onionbig,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
2024-05-01,Maharashtra,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-01,Maharashtra,tomato,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
2024-05-01,Maharashtra,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2024-05-01,Maharashtra,beetroot,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
2024-05-01,Maharashtra,potato,Potato,31,36 - 39,37 - 51,1kg,resource/images/vegetables/potato-64.png
2024-05-01,Maharashtra,plantain,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
2024-05-01,Maharashtra,amaranthleaves,Amaranth Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/amaranthleaves-64.png
2024-05-01,Maharashtra,amla,Amla,65,75 - 83,78 - 107,1kg,resource/images/vegetables/amla-64.png
2024-05-01,Maharashtra,ashgourd,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
2024-05-01,Maharashtra,babycorn,Baby Corn,46,53 - 58,55 - 76,1kg,resource/images/vegetables/babycorn-64.png
2024-05-01,Maharashtra,bananaflower,Banana Flower,16,18 - 20,19 - 26,1kg,resource/images/vegetables/bananaflower-64.png
2024-05-01,Maharashtra,capsicum,Capsicum,46,53 - 58,55 - 76,1kg,resource/images/vegetables/capsicum-64.png
2024-05-01,Maharashtra,bittergourd,Bitter Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/bittergourd-64.png
2024-05-01,Maharashtra,bottlegourd,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
2024-05-01,Maharashtra,butterbeans,Butter Beans,50,58 - 64,60 - 83,1kg,resource/images/vegetables/butterbeans-64.png
2024-05-01,Maharashtra,broadbeans,Broad Beans,30,35 - 38,36 - 50,1kg,resource/images/vegetables/broadbeans-64.png
2024-05-01,Maharashtra,cabbage,Cabbage,20,23 - 25,24 - 33,1kg,resource/images/vegetables/cabbage-64.png
